C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\center_2018_05_27_19_14_34_194.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\left_2018_05_27_19_14_34_194.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\right_2018_05_27_19_14_34_194.jpg,0,0,0,7.559508E-06
C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\center_2018_05_27_19_14_34_270.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\left_2018_05_27_19_14_34_270.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\right_2018_05_27_19_14_34_270.jpg,0,0,0,2.088236E-06
C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\center_2018_05_27_19_14_34_352.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\left_2018_05_27_19_14_34_352.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\right_2018_05_27_19_14_34_352.jpg,0,0,0,5.161166E-06
C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\center_2018_05_27_19_14_34_422.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\left_2018_05_27_19_14_34_422.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\right_2018_05_27_19_14_34_422.jpg,0,0,0,1.549045E-06
C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\center_2018_05_27_19_14_34_504.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\left_2018_05_27_19_14_34_504.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\right_2018_05_27_19_14_34_504.jpg,0,0,0,4.228944E-06
C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\center_2018_05_27_19_14_34_577.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\left_2018_05_27_19_14_34_577.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\right_2018_05_27_19_14_34_577.jpg,0,0,0,4.268441E-06
C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\center_2018_05_27_19_14_34_652.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\left_2018_05_27_19_14_34_652.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\right_2018_05_27_19_14_34_652.jpg,0,0,0,5.394496E-06
C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\center_2018_05_27_19_14_34_729.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\left_2018_05_27_19_14_34_729.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\right_2018_05_27_19_14_34_729.jpg,0,0,0,6.293878E-06
C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\center_2018_05_27_19_14_34_804.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\left_2018_05_27_19_14_34_804.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\right_2018_05_27_19_14_34_804.jpg,0,0,0,2.437662E-06
C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\center_2018_05_27_19_14_34_880.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\left_2018_05_27_19_14_34_880.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\right_2018_05_27_19_14_34_880.jpg,0,0,0,5.562154E-06
C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\center_2018_05_27_19_14_34_968.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\left_2018_05_27_19_14_34_968.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\right_2018_05_27_19_14_34_968.jpg,0,0,0,3.199457E-06
C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\center_2018_05_27_19_14_35_046.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\left_2018_05_27_19_14_35_046.jpg,C:\Users\Admin\CarND-Behavioral-Cloning-P3\IMG\right_2018_05_27_19_14_35_046.jpg,0,0,0,5.063047E-06
